Field Number,CDS501 Name,Code Name,CDS Code,CDS Code Description,CRASH.SER_NO,DMV Crash Serial Number,CRASH.CRASH_MO_NO,Crash Date Month (MM),CRASH.CRASH_HR_NO,Crash Hour,CRASH.CRASH_CNTY_ID,County,CRASH.CITY_SECT_ID,City,CRASH.URB_AREA_CD,Urban Area,CRASH.FC_CD,Functional Classification,CRASH.NHS_FLG,NHS,CRASH.HWY_NO,Highway Number,CRASH.RDWY_NO,Roadway Number,CRASH.HWY_COMPNT_CD,Highway Component,CRASH.MLGE_TYPE_CD,Mileage Type,CRASH.HWY_CMPNT_CD,Connection Number ,CRASH.SPECL_JRSDCT_ID,Special Jurisdiction,CRASH.ISECT_SEQ_NO,Intersection Sequence Number,FROM_ISECT_DSTNC_QTY,Distance From Nearest Intersection,CRASH.CMPSS_DIR_CD,Direction from Intersection,CRASH.MP_NO,Milepoint,CRASH.POST_SPEED_LMT_VAL,Posted Speed,CRASH.RD_CHAR_CD,Road Character,CRASH.OFF_RDWY_FLG,Off Roadway,CRASH.ISECT_TYP_CD,Intersection Type,CRASH.ISECT_REL_FLG,Intersection Related,CRASH.RNDBT_FLG,Roundabout,CRASH.DRVY_REL_FLG,Driveway Related,CRASH.LN_QTY,Number of Lanes,CRASH.TURNG_LEG_QTY,Number of Turning Legs,CRASH.MEDN_TYP_CD,Median Type,CRASH.CRASH_TYP_CD,Crash Type,CRASH.COLLIS_TYP_CD,Collision Type,CRASH.CRASH.SVRTY_CD,Crash Severity,CRASH.WEATHR_COND_CD,Weather Condition,CRASH.RD_SURF_COND_CD,Road Surface Condition,CRASH.LGT_COND_CD,Light Condition,CRASH.TRAF_CNTL_DEVICE_CD,Traffic Control Device,CRASH.TRAF_CNTL_DEVICE_CD,Traffic Control Device Functional,CRASH.INVSTG_AGY_CD,Investigating Agency,CRASH_CAUSE_EVNT.CRASH_EVNT_,Crash Level Events,CRASH_CAUSE_EVNT.CRASH_CAUSE_,Crash Level Cause,CRASH.SCHL_ZONE_IND,School Zone,CRASH.WRK_ZONE_IND,Work Zone,VHCL.VHCL_CODED_SEQ_NO,Vehicle Number,VHCL.VHCL_OWNSHP_CD,Vehicle Ownership,VHCL.VHCL_USE_CD,Special Use,VHCL.VHCL_TYP_CD,Vehicle Type,VHCL.EMRGCY_VHCL_USE_FLG,Emergency Use,VHCL.TRLR_QTY,Number of Trailers,VHCL.MVMNT_CD,Vehicle Movement,VHCL.CMPSS_DIR_FROM_CD,Direction of Travel From,VHCL.CMPSS_DIR_TO_CD,Direction of Travel To ,VHCL.ACTN_CD,Vehicle Level Action,VHCL_CAUSE_EVNT.VHCL_CAUSE_,Vehicle Level Cause,VHCL_CAUSE_EVNT.VHCL_EVNT_,Vehicle Level Event,VHCL.VHCL_SPEED_FLG,Vehicle Speed Flag - a yes/no field entered at the vehicle level. This field indicates that this vehicle was driven in excess of the posted speed.,VCHL.VHCL_HIT_RUN_FLG,Vehicle Hit and Run - Vehicle Level Hit and Run is a yes/no field that indicates whether the operator fled the scene of the crash in this vehicle.,PARTIC.VHCL_ID,Participant Level Vehicle Number,PARTIC.PARTIC_TYP_CD,Participant Type,PARTIC.PARTIC_HIT_RUN_FLG,Participant Level Hit and Run,PARTIC.PUB_EMPL_FLG,Public Employee,PARTIC.SEX_CD,Sex,PARTIC.AGE_VAL,Age,PARTIC.DRVR_LIC_STAT_CD,Driver License Status,PARTIC.DRVR_RES_STAT_CD,Residence of Driver,PARTIC.INJ_SVRTY_CD,Injury Severity,PARTIC.SFTY_EQUIP_USE_CD,Participant Safety Equipment Use,PARTIC.AIRBAG_DEPLOY_IND,Airbag Deployment,PARTIC.MVMNT_CD,Non-Motorist Movement,PARTIC.CMPSS_DIR_FROM_CD,Non-Motorist Direction of Travel From,PARTIC.CMPSS_DIR_TO_CD,Non-Motorist Direction of Travel To,PARTIC.NON_MOTRST_LOC_CD,Non-Motorist Location,PARTIC_ACTN_CD,Participant Level Action,PARTIC_ERR.CRASH_ERR_CD,Error,PARTIC_CAUSE_ERR_EVNT.PARTIC_CAUSE_,Participant Level Cause,PARTIC_CAUSE_ERR_EVNT.PARTIC_EVNT_,Participant Level Event,PARTIC.BAC_VAL,Blood Alcohol Content (BAC) Test Results,PARTIC.ALCHL_USE_RPT_IND,Alcohol Use Reported,PARTIC.DRUG_USE_RPT_IND,Drug Use Reported,PARTIC.MJ_USE_RPT_IND,Marijuana Use Reported,JRSDCT_GRP.JRSDCT_GRP_CD,Jurisdiction Group,CRASH.ALCHL_INVLV_FLG,Alcohol Involved Flag,CRASH.DRUG_INVLV_FLG,Drug Involved Flag,CRASH.MJ_INVLV_FLG,Marijuana Involved Flag,CRASH.CRASH_SPEED_INVLV_FLG,Speed Involved Flag,Hit and Run Flag,PARTIC.PARTIC_HIT_RUN_FLG,CRASH.POP_RNG_CD,Population Range,CRASH.RD_CNTRL_CD,Road Control,CRASH.RTE_TYP_CD,Route Type,CRASH.RTE_ID,Route Number,CRASH.REG_ID,ODOT Region,CRASH.DIST_ID,ODOT District,CRASH.UNLOCT_FLG,Unlocatable Crash Flag,CRASH.IMPCT_LCT_CD-INTR_CR_CT,Location of Impact:Intersectional Crashes,CRASH.IMPCT_LCT_CD-NONINTR_CR_CT_ST,Location of Impact:Non-Intersectional Crashes on City Streets,CRASH.IMPCT_LCT_CD-NONINTR_CR_CO_RO,Location of Impact:Non-Intersectional Crashes on County Roads,CRASH.IMPCT_LCT_CD-NONINTR_ST_HWY,Location of Impact:Non-Intersectional Crashes on State Highways
116,Vehicle Event 2 Code,,VHCL_CAUSE_EVNT.VHCL_EVNT_,Vehicle Level Event,,,,,,,,,115,Lake Oswego,,,,,,,227,Eugene-Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,Rocks / boulder (Not gravel; not rock slide) (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Vehicle Event 3 Code,,VHCL_CAUSE_EVNT.VHCL_EVNT_,Vehicle Level Event,,,,,,,,,116,Lakeside,,,,,,,228,Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,Rock slide or land slide (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Vehicle Exceeded Posted Speed Flag,,VHCL.VHCL_SPEED_FLG,Vehicle Speed Flag,,,,,,,,,117,Lakeview,,,,,,,229,Mapleton-Junction City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,Curve present at crash location (Do not use with code 130) (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Vehicle Hit & Run Flag,,VCHL.VHCL_HIT_RUN_FLG,Vehicle Hit and Run,,,,,,,,,118,Lebanon,,,,,,,231,Elkton-Sutherlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,Vertical grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Safety Equipment Used Quantity,,,,,,,,,,,,119,Lexington,,,,,,,233,West Diamond Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,View obscured by curve (Do not use with code 128) (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Safety Equipment Un-used Quantity,,,,,,,,,,,,120,Lincoln City,,,,,,,234,Oakland-Shady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,View obscured by vertical grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Safety Equipment Use Unknown Quantity,,,,,,,,,,,,121,Lonerock,,,,,,,240,Cape Arago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,View obscured by vehicle window conditions (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Vehicle Occupant Count,,,,,,,,,,,,122,Long Creek,,,,,,,241,Coos River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,View obscured by water spray (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Vehicle Striking Flag,,,,,,,,,,,,123,Lostine,,,,,,,242,Powers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,Torrential rain (Exceptionally heavy rain) (Effective 2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Participant Type Code,,PARTIC.PARTIC_TYP_CD,Participant Type,,,,,,,,,124,Lowell,,,,,,,244,Coquille-Bandon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Participant Hit & Run Flag,,PARTIC.PARTIC_HIT_RUN_FLG,Participant Level Hit and Run,,,,,,,,,125,Lyons,,,,,,,250,Cape Blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Public Employee Flag,,PARTIC.PUB_EMPL_FLG,Public Employee,,,,,,,,,126,McMinnville,,,,,,,251,Port Orford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Sex,,PARTIC.SEX_CD,Sex,,,,,,,,,127,Madras,,,,,,,255,Carpenterville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Age,,PARTIC.AGE_VAL,Age,,,,,,,,,128,Malin,,,,,,,260,Rogue River Loop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Driver License Status,,PARTIC.DRVR_LIC_STAT_CD,Driver License Status,,,,,,,,,129,Manzanita,,,,,,,270,Lake of the Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Driver Residence,,PARTIC.DRVR_RES_STAT_CD,Residence of Driver,,,,,,,,,130,Maupin,,,,,,,271,Sams Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Injury Severity,,PARTIC.INJ_SVRTY_CD,Injury Severity,,,,,,,,,131,Maywood Park,,,,,,,272,Jacksonville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Participant Safety Equipment Use Code,,PARTIC.SFTY_EQUIP_USE_CD,Participant Safety Equipment Use,,,,,,,,,132,Medford,,,,,,,273,Siskiyou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Airbag Deployment,,PARTIC.AIRBAG_DEPLOY_IND,Airbag Deployment,,,,,,,,,133,Merrill,,,,,,,281,Hood River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Non-Motorist Movement Code,,PARTIC.MVMNT_CD,Non-Motorist Movement,,,,,,,,,134,Metolius,,,,,,,282,Odell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Non-Motorist Travel Direction From,,PARTIC.CMPSS_DIR_FROM_CD,Non-Motorist Direction of Travel From,,,,,,,,,135,Mill City,,,,,,,290,Sherars Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Non-Motorist Travel Direction To,,PARTIC.CMPSS_DIR_TO_CD,Non-Motorist Direction of Travel To,,,,,,,,,136,Millersburg,,,,,,,291,Shaniko-Fossil ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Non-Motorist Location,,PARTIC.NON_MOTRST_LOC_CD,Non-Motorist Location,,,,,,,,,137,Milton-Freewater,,,,,,,292,Mosier-The Dalles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Participant Action,,,,,,,,,,,,138,Milwaukie,,,,,,,293,Antelope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Participant Error 1 Code,,PARTIC_ERR.CRASH_ERR_CD,Error,,,,,,,,,139,Mitchell,,,,,,,300,Wasco-Heppner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Participant Error 2 Code,,PARTIC_ERR.CRASH_ERR_CD,Error,,,,,,,,,140,Molalla,,,,,,,301,Celilo-Wasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Participant Error 3 Code,,PARTIC_ERR.CRASH_ERR_CD,Error,,,,,,,,,141,Monmouth,,,,,,,320,Lexington-Echo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Participant Cause 1 Code,,PARTIC_CAUSE_ERR_EVNT.PARTIC_CAUSE_,Participant Level Cause,,,,,,,,,142,Monroe,,,,,,,321,Heppner-Spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Participant Cause 2 Code,,PARTIC_CAUSE_ERR_EVNT.PARTIC_CAUSE_,Participant Level Cause,,,,,,,,,143,Monument,,,,,,,330,Weston-Elgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Participant Cause 3 Code,,PARTIC_CAUSE_ERR_EVNT.PARTIC_CAUSE_,Participant Level Cause,,,,,,,,,144,Moro,,,,,,,331,Umatilla Mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Participant Event 1 Code,,PARTIC_CAUSE_ERR_EVNT.PARTIC_EVNT_,Participant Level Event,,,,,,,,,145,Mosier,,,,,,,332,Sunnyside-Umapine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Participant Event 2 Code,,PARTIC_CAUSE_ERR_EVNT.PARTIC_EVNT_,Participant Level Event,,,,,,,,,146,Mt. Angel,,,,,,,333,Hermiston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Participant Event 3 Code,,PARTIC_CAUSE_ERR_EVNT.PARTIC_EVNT_,Participant Level Event,,,,,,,,,147,Mt. Vernon,,,,,,,334,Athena-Holdman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,BAC Test Results Code,,PARTIC.BAC_VAL,Blood Alcohol Content (BAC) Test Results,,,,,,,,,148,Myrtle Creek,,,,,,,335,Havana-Helix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Alcohol Use Reported,,PARTIC.ALCHL_USE_RPT_IND,Alcohol Use Reported,,,,,,,,,149,Myrtle Point,,,,,,,339,Freewater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Drug Use Reported,,PARTIC.DRUG_USE_RPT_IND,Drug Use Reported,,,,,,,,,150,Nehalem,,,,,,,340,Medical Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Participant Striker Flag,,,,,,,,,,,,151,Newberg,,,,,,,341,Ukiah-Hilgard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PARTIC.MJ_USE_RPT_IND,Marijuana Use Reported,,,,,,,,,152,Newport,,,,,,,342,Cove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,JRSDCT_GRP.JRSDCT_GRP_CD,Jurisdiction Group,,,,,,,,,153,North Bend,,,,,,,350,Little Sheep Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CRASH.MJ_INVLV_FLG,Marijuana Involved Flag,,,,,,,,,154,North Plains,,,,,,,351,Joseph-Wallowa Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CRASH.IMPCT_LCT_CD-INTR_CR_CT,Location of Impact:Intersectional Crashes,,,,,,,,,155,North Powder,,,,,,,360,Madras-Prineville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CRASH.IMPCT_LCT_CD-NONINTR_CR_CT_ST,Location of Impact:Non-Intersectional Crashes on City Streets,,,,,,,,,156,Nyssa,,,,,,,361,Culver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CRASH.IMPCT_LCT_CD-NONINTR_CR_CO_RO,Location of Impact:Non-Intersectional Crashes on County Roads,,,,,,,,,157,Oakland,,,,,,,370,Oâ€™Neil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CRASH.IMPCT_LCT_CD-NONINTR_ST_HWY,Location of Impact:Non-Intersectional Crashes on State Highways,,,,,,,,,158,Oakridge,,,,,,,372,Century Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
